interface	size	test	rep	time	value
CPLEX_PY	20	LP	0	38.703540086746216	52.90204495944039
CPLEX_PY	20	LP	1	1.2920351028442383	52.90204495944039
CPLEX_PY	20	LP	2	40.70504307746887	52.902044959440374
CPLEX_PY	20	LP	3	31.518653869628906	52.9020449594404
CPLEX_PY	20	LP	4	21.78740906715393	52.902044959440396
CPLEX_PY	20	LP	5	0.7519900798797607	52.9020449594404
CPLEX_PY	20	LP	6	36.327475786209106	52.902044959440396
CPLEX_PY	20	LP	7	29.48070192337036	52.9020449594404
CPLEX_PY	20	LP	8	2.884381055831909	52.902044959440396
CPLEX_PY	20	LP	9	2.7778868675231934	52.902044959440396
