interface	model	test	replicate	value	time
CPLEX_PY	iLJ478	LP	0	0.1773033816015399	0.06808781623840332
CPLEX_PY	iLJ478	MILP	0	5.0	0.060935020446777344
GUROBI	iLJ478	LP	0	0.17730338160154036	0.035453081130981445
GUROBI	iLJ478	MILP	0	5.0	0.0691828727722168
SCIP_CMD	iLJ478	LP	0	0.17730338160154	0.1539461612701416
SCIP_CMD	iLJ478	MILP	0	5.0	0.1436769962310791
HiGHS_CMD	iLJ478	LP	0	0.1773033816015	0.07153916358947754
HiGHS_CMD	iLJ478	MILP	0	5.0	0.18178200721740723
CPLEX_PY	iCN718	LP	0	0.23894922467506674	0.02519392967224121
CPLEX_PY	iCN718	MILP	0	3.0	0.057832956314086914
GUROBI	iCN718	LP	0	0.2389492246750792	0.020908117294311523
GUROBI	iCN718	MILP	0	3.0	0.08629512786865234
SCIP_CMD	iCN718	LP	0	0.238949224675067	0.0983588695526123
SCIP_CMD	iCN718	MILP	0	3.0	0.23630213737487793
HiGHS_CMD	iCN718	LP	0	0.2389492246751	0.04987311363220215
HiGHS_CMD	iCN718	MILP	0	3.0	0.514397144317627
CPLEX_PY	iMM904	LP	0	0.7174219325653098	0.036054134368896484
CPLEX_PY	iMM904	MILP	0	3.0	0.11120200157165527
GUROBI	iMM904	LP	0	0.7174219325653098	0.030757904052734375
GUROBI	iMM904	MILP	0	3.0	0.13266992568969727
SCIP_CMD	iMM904	LP	0	0.717421932565265	0.12439203262329102
SCIP_CMD	iMM904	MILP	0	3.0	0.30619192123413086
HiGHS_CMD	iMM904	LP	0	0.7174219325653	0.06673383712768555
HiGHS_CMD	iMM904	MILP	0	3.0	0.2881038188934326
CPLEX_PY	iAF1260	LP	0	3.6101431416268066	0.06725406646728516
CPLEX_PY	iAF1260	MILP	0	12.999999998	0.4045298099517822
GUROBI	iAF1260	LP	0	3.6101431416268026	0.045092105865478516
GUROBI	iAF1260	MILP	0	13.0	0.5149409770965576
SCIP_CMD	iAF1260	LP	0	3.6101431416268	0.19798588752746582
SCIP_CMD	iAF1260	MILP	0	13.0	3.897825002670288
HiGHS_CMD	iAF1260	LP	0	3.6101431416268	0.0955657958984375
HiGHS_CMD	iAF1260	MILP	0	13.0	2.714057207107544
CPLEX_PY	iYS1720	LP	0	4.252337850278837	0.09548687934875488
CPLEX_PY	iYS1720	MILP	0	3.0	0.24971485137939453
GUROBI	iYS1720	LP	0	4.252337850278832	0.06418466567993164
GUROBI	iYS1720	MILP	0	3.0	0.33124303817749023
SCIP_CMD	iYS1720	LP	0	4.25233785027884	0.2374248504638672
SCIP_CMD	iYS1720	MILP	0	3.0	0.5956957340240479
HiGHS_CMD	iYS1720	LP	0	4.2523378502788	0.1199638843536377
HiGHS_CMD	iYS1720	MILP	0	3.0	1.6398570537567139
CPLEX_PY	iCHOv1	LP	0	3.915873243198781	0.1440110206604004
CPLEX_PY	iCHOv1	MILP	0	10.0	0.30167508125305176
GUROBI	iCHOv1	LP	0	3.915873243198781	0.11357498168945312
GUROBI	iCHOv1	MILP	0	10.0	0.25157904624938965
SCIP_CMD	iCHOv1	LP	0	3.91587324319878	0.3790898323059082
SCIP_CMD	iCHOv1	MILP	0	10.0	0.9424829483032227
HiGHS_CMD	iCHOv1	LP	0	3.9158732431988	0.28989601135253906
HiGHS_CMD	iCHOv1	MILP	0	10.0	0.8495039939880371
CPLEX_PY	Recon3D	LP	0	43.28239133966799	0.3408379554748535
CPLEX_PY	Recon3D	MILP	0	4.999999999999966	2.452361822128296
GUROBI	Recon3D	LP	0	43.282391339667946	0.19489407539367676
GUROBI	Recon3D	MILP	0	5.0	8.820651769638062
SCIP_CMD	Recon3D	LP	0	43.282391339668	0.7199459075927734
SCIP_CMD	Recon3D	MILP	0	5.0	50.06295394897461
HiGHS_CMD	Recon3D	LP	0	43.2823913396682	0.4078798294067383
HiGHS_CMD	Recon3D	MILP	0	5.0	10.701287031173706
